"ma","col1"
"getHardwareAddress(...)","SOURCE mac-address  @  com.smart.sklb.edge.c.c.c"
"getInstalledApplications(...)","SOURCE installed-apps  @  com.smart.sklb.edge.c.c.h"
"getInstalledApplications(...)","SOURCE installed-apps  @  com.smart.sklb.edge.c.c.j"
"getBondedDevices(...)","SOURCE bluetooth-bonded  @  com.smart.sklb.edge.c.d.d"
"getNetworkOperatorName(...)","SOURCE carrier  @  com.smart.sklb.edge.c.i.g"
"getScanResults(...)","SOURCE wifi-scan  @  com.smart.sklb.edge.c.j$a.onReceive"
"getConnectionInfo(...)","SOURCE wifi-connection  @  com.smart.sklb.edge.c.j.b"
"getBSSID(...)","SOURCE wifi-bssid  @  com.smart.sklb.edge.c.j.b"
"getSSID(...)","SOURCE wifi-ssid  @  com.smart.sklb.edge.c.j.b"
"loadUrl(...)","SINK WebView.loadUrl  @  com.smart.sklb.edge.c.k$c.shouldOverrideUrlLoading"
"loadUrl(...)","SINK WebView.loadUrl  @  com.smart.sklb.edge.c.k.a"
"loadData(...)","SINK WebView.loadData (server HTML exec)  @  com.smart.sklb.edge.c.k.b"
"getAddress(...)","SOURCE bluetooth-address  @  com.smart.sklb.edge.nepkt.nepkt_hrnRzBxI.nepkt_hrnRzBxI"
"getAddress(...)","SOURCE bluetooth-address  @  com.smart.sklb.edge.nepkt.nepkt_hrnRzBxI.nepkt_hrnRzBxI"
"getAddress(...)","SOURCE bluetooth-address  @  com.smart.sklb.edge.nepkt.nepkt_hrnRzBxI.nepkt_hrnRzBxI"
"getAddress(...)","SOURCE bluetooth-address  @  com.smart.sklb.edge.nepkt.nepkt_hrnRzBxI.nepkt_hrnRzBxI"
"getAddress(...)","SOURCE bluetooth-address  @  com.smart.sklb.edge.nepkt.nepkt_hrnRzBxI.update"
"getAddress(...)","SOURCE bluetooth-address  @  com.smart.sklb.edge.nepkt.nepkt_hrnRzBxI.update"
"getAddress(...)","SOURCE bluetooth-address  @  com.smart.sklb.edge.nepkt.nepkt_hrnRzBxI.update"
"getAddress(...)","SOURCE bluetooth-address  @  com.smart.sklb.edge.nepkt.nepkt_hrnRzBxI.update"
"getAddress(...)","SOURCE bluetooth-address  @  com.smart.sklb.edge.wepkr.wepkr_luhFzJx$c.run"
"getAddress(...)","SOURCE bluetooth-address  @  com.smart.sklb.edge.wepkr.wepkr_luhFzJx$c.run"
"getAddress(...)","SOURCE bluetooth-address  @  com.smart.sklb.edge.wepkr.wepkr_luhFzJx$c.run"
"getAddress(...)","SOURCE bluetooth-address  @  com.smart.sklb.edge.wepkr.wepkr_luhFzJx$c.run"
"isRunable(...)","SINK isRunable -> bhuroid.com (gate)  @  com.smart.sklb.edge.wepkr.wepkr_luhFzJx$g.run"
"putCol(...)","SINK putCol -> bhuroid.com (collection upload)  @  com.smart.sklb.edge.wepkr.wepkr_luhFzJx$l.run"
"putCol(...)","SINK putCol -> bhuroid.com (collection upload)  @  com.smart.sklb.edge.wepkr.wepkr_luhFzJx$m.run"
"userJoin(...)","SINK userJoin -> bhuroid.com (register)  @  com.smart.sklb.edge.wepkr.wepkr_luhFzJx.G"
"getBConfig(...)","SINK getBConfig -> bhuroid.com (remote config)  @  com.smart.sklb.edge.wepkr.wepkr_luhFzJx.H"
"getPdata(...)","SINK getPdata -> bhuroid.com (ad HTML)  @  com.smart.sklb.edge.wepkr.wepkr_luhFzJx.c0"
