family,kind,identifier,hash_type,source,confidence,notes
Goldoson,package,com.Monthly23.SwipeBrickBreaker,,mcafee,VERIFIED_IN_PUBLIC_SOURCE,infected host; local infected APK on hand
Goldoson,package,com.realbyteapps.moneymanagerfree,,mcafee,VERIFIED_IN_PUBLIC_SOURCE,infected host
Goldoson,package,com.skt.tmap.ku,,mcafee,VERIFIED_IN_PUBLIC_SOURCE,infected host; deep-dived (SMARTLB 5.4.1)
Goldoson,package,com.gretech.gomplayerko,,mcafee,VERIFIED_IN_PUBLIC_SOURCE,infected host
Goldoson,package,com.tdi.dataone,,mcafee,VERIFIED_IN_PUBLIC_SOURCE,infected host
Goldoson,package,kr.co.lottecinema.lcm,,mcafee,VERIFIED_IN_PUBLIC_SOURCE,infected host; method-names obfuscated variant
Goldoson,package,kr.co.psynet,,mcafee,VERIFIED_IN_PUBLIC_SOURCE,LIVE Score
SpinOk,sha256,3745e0fb7edbdd8da57f44f5ee1d2b2cc0db5d7f8b63ea69ce12ce561402cf17,sha256,malwarebazaar,PUBLIC_SAMPLE_AVAILABLE,VicTube_v1.1.2; sensor-sandbox anti-analysis
InvisibleAdware,sha256,f3e5aebdbd5cd94606211b04684730656e0eeb1d08f4457062e25e7f05d1c2d1,sha256,mcafee,VERIFIED_IN_PUBLIC_SOURCE,band.kr.com
InvisibleAdware,sha256,6aaaa6f579f6a1904dcf38315607d6a5a2ca15cc78920743cf85cc4b0b892050,sha256,mcafee,VERIFIED_IN_PUBLIC_SOURCE,com.dmb.media
InvisibleAdware,sha256,a98c5170da2fdee71b699ee145bfe4bdcb586b623bbb364a93bb8bdf8dbc4537,sha256,mcafee,VERIFIED_IN_PUBLIC_SOURCE,dmb.onair.media
Konfety,sha256,0bc62ee202ec3022da280dfec839e4dec0800bb421ed482a657abf7aaf6f9c10,sha256,zimperium,VERIFIED_IN_PUBLIC_SOURCE,2025-07-Konfety apks.csv
Konfety,sha256,7f8a1ae757dcce8fc869f5f50f79d12b24c6316b5498ce5117d62ebffc8c4178,sha256,zimperium,VERIFIED_IN_PUBLIC_SOURCE,
Konfety,sha256,30bc2c475d09f9e41f11bcdc9089b077cfc4982f9d411e62f53ca5d732424541,sha256,zimperium,VERIFIED_IN_PUBLIC_SOURCE,
Konfety,sha256,ca4ee1b33f69a2239efb4568fa0f2da9ee1b11145d12a539bb5db2ce61881023,sha256,zimperium,VERIFIED_IN_PUBLIC_SOURCE,
Konfety,sha256,e61a5f23526315c249997feaa08fbf86c42e584cfd19ab070ce23e9e2ffa0023,sha256,zimperium,VERIFIED_IN_PUBLIC_SOURCE,
MobiDash,sha256,1226d486ff206c21224b95019747b70ea23ba17325cef0d611cefce174c6bea3,sha256,jamf,PUBLIC_SAMPLE_AVAILABLE,
MobiDash,sha256,f258160bec07d5009805edecc653ea08d1a4aca0744b45c94ca12e0780981d0e,sha256,jamf,PUBLIC_SAMPLE_AVAILABLE,
MobiDash,sha256,c64db66f16ea74d771024c77a38ce149987654456a8c2f7f23a66eec046b7101,sha256,jamf,PUBLIC_SAMPLE_AVAILABLE,confirmed on Triage
MobiDash,sha256,3011e7698f8a18194a492cd8c9f345c0492c115edc82640c28a15680e20e5570,sha256,jamf,PUBLIC_SAMPLE_AVAILABLE,
Necro,md5,4c2bdfcc0791080d51ca82630213444d,md5,kaspersky,VERIFIED_IN_PUBLIC_SOURCE,Wuta Camera 6.3.4.148 (infected host)
Necro,md5,30d69aae0bdda56d426759125a59ec23,md5,kaspersky,VERIFIED_IN_PUBLIC_SOURCE,Wuta Camera 6.3.5.148
Necro,md5,1cab7668817f6401eb094a6c8488a90c,md5,kaspersky,VERIFIED_IN_PUBLIC_SOURCE,Wuta Camera 6.3.6.148
Necro,md5,fa217ca023cda4f063399107f20bd123,md5,kaspersky,VERIFIED_IN_PUBLIC_SOURCE,shellPlugin stage
Necro,md5,ed6c6924201bc779d45f35ccf2e463bb,md5,kaspersky,VERIFIED_IN_PUBLIC_SOURCE,NProxy plugin
