app,total_boundary,framework,recognized_lib,obfuscated_residue,named_other,unresolved,residue_pct
com.skt.tmap.ku,115,101,8,5,0,1,4
mafu.driving.free,86,58,0,27,0,1,31
com.appsnine.audiorecorder,178,104,0,73,0,1,41
com.appsnine.compass,214,152,3,58,0,1,27
kr.co.lottecinema.lcm,167,156,10,0,0,1,0
com.wtwoo.girlsinger.worldcup,112,95,6,10,0,1,9
kr.co.psynet,122,115,6,0,0,1,0
com.Monthly23.SwipeBrickBreaker,128,120,7,0,0,1,0
com.megabox.mop,182,159,10,12,0,1,7
com.somcloud.somnote,111,104,6,0,0,1,0
com.gretech.gomplayerko,169,158,10,0,0,1,0
