label,carved_cls,decompile_s,dbbuild_s,db_mb,src_types,src_methods
com.skt.tmap.ku,117,0.89,24.65,8,117,395
com.Monthly23.SwipeBrickBreaker,201,0.98,24.41,9,201,586
com.appsnine.audiorecorder,163,0.90,23.63,9,164,429
com.appsnine.compass,210,0.96,24.56,9,210,578
com.gretech.gomplayerko,295,1.37,28.85,11,295,832
com.megabox.mop,271,1.12,23.78,10,271,956
com.somcloud.somnote,184,1.00,24.42,9,185,634
com.wtwoo.girlsinger.worldcup,176,1.03,24.90,9,176,475
kr.co.lottecinema.lcm,273,1.14,25.78,11,273,728
kr.co.psynet,195,1.00,24.39,9,195,587
mafu.driving.free,144,0.87,20.61,7,145,407
